BSE Code,Company Name
507938,Manipal Finance Corporation Ltd
507944,Bajaj Steel Industries Ltd
507946,Kiduja India Ltd
507948,Key Corporation Ltd
507952,Shikhar Leasing & Trading Ltd
507960,Gujarat Hotels Ltd
507962,Fynx Capital Ltd
507966,Ras Resorts & Apart Hotels Ltd
507968,Jolly Plastic Industries Ltd
507970,Paramount Cosmetics India Ltd
507981,Jindal Hotels Ltd
507984,SER Industries Ltd
507987,Jupiter Industries & Leasing Ltd
507998,Simmonds Marshall Ltd
508136,B & A Ltd
508486,Hawkins Cookers Ltd
508494,Warren Tea Ltd
508571,Cochin Malabar Estates & Industries Ltd
508664,Best Eastern Hotels Ltd
508670,Neelamalai Agro Industries Ltd
508807,I S T Ltd
508814,Cosmo First Ltd
508867,New Markets Advisory Ltd
508869,Apollo Hospitals Enterprise Ltd
508875,Nitin Castings Ltd
508905,Nexome Capital Markets Ltd
508906,Everest Industries Ltd
508918,Ironwood Education Ltd
508922,MSR India Ltd
508929,Avishkar Infra Realty Ltd
508933,AYM Syntex Ltd
508941,Panasonic Carbon India Company Ltd
508954,Finkurve Financial Services Ltd
508956,HB Leasing & Finance Company Ltd
508961,Shricon Industries Ltd
508963,Trustwave Securities Ltd
508969,Sulabh Engineers & Services Ltd
508980,Frontier Capital Ltd
508989,Navneet Education Ltd
508993,Kedia Construction Company Ltd
509003,Transoceanic Properties Ltd
509009,AuSom Enterprise Ltd
509015,Thakral Services India Ltd
509020,Ruchi Infrastructure Ltd
509024,Golden Legand Leasing & finance Ltd
509026,VJTF Eduservices Ltd
509038,Voltaire Leasing & Finance Ltd
509040,Netlink Solutions India Ltd
509046,Triliance Polymers Ltd
509048,Lancor Holdings Ltd
509051,Indian Infotech & Software Ltd
509053,Banas Finance Ltd
509055,Visaka Industries Ltd
509073,Hathway Bhawani Cabletel & Datacom Ltd
509079,Gufic Biosciences Ltd
509084,Photon Capital Advisors Ltd
509152,GRP Ltd
509162,Indag Rubber Ltd
509196,MM Rubber Company Ltd
509220,PTL Enterprises Ltd
509243,TVS Srichakra Ltd
509423,Sanathnagar Enterprises Ltd
509438,Benares Hotels Ltd
509449,Bhagawati Oxygen Ltd
509470,Bombay Oxygen Investments Ltd
509472,Cravatex Ltd
509480,Berger Paints India Ltd
509486,Caprihans India Ltd
509488,Graphite India Ltd
509496,ITD Cementation India Ltd
509525,Empire Industries Ltd
509546,Graviss Hospitality Ltd
509557,Garware Technical Fibres Ltd
509563,Garware Marine Industries Ltd
509567,Goa Carbon Ltd
509597,Hardcastle & Waud Manufacturing Company Ltd
509631,HEG Ltd
509635,Hindustan Composites Ltd
509650,Hindustan Housing Company Ltd
509675,Birlanu Ltd
509692,Indian Card Clothing Company Ltd
509709,International Conveyors Ltd
509715,Jay Shree Tea & Industries Ltd
509732,Kothari Industrial Corporation Ltd
509760,Modern Shares & Stockbrokers Ltd
509782,Oseaspre Consultants Ltd
509820,Huhtamaki India Ltd
509835,Premier Synthetics Ltd
